chip_id,date,cloud_coverage,water_coverage
0,20190116,2019-01-16,1.097,17.091 
1,20190202,2019-02-02,0.583,16.338 
2,20190207,2019-02-07,0.720,16.543 
3,20190406,2019-04-06,0.364,14.220 
4,20190627,2019-06-27,0.438,12.495 
5,20190920,2019-09-20,0.455,13.645 
6,20191020,2019-10-20,1.552,14.571 
7,20191028,2019-10-28,1.540,15.064 
8,20191114,2019-11-14,0.947,15.096 
9,20191129,2019-11-29,1.239,19.322 
10,20191209,2019-12-09,3.329,16.801 
11,20200227,2020-02-27,1.594,15.458 
12,20200415,2020-04-15,0.370,13.922 
13,20200417,2020-04-17,1.706,13.992 
14,20200420,2020-04-20,0.464,13.463 
15,20200425,2020-04-25,0.032,13.793 
16,20200601,2020-06-01,2.805,12.450 
17,20200919,2020-09-19,57.982,6.115 
18,20201113,2020-11-13,0.993,16.312 
19,20201206,2020-12-06,48.386,22.126 
20,20210226,2021-02-26,0.180,15.422 
21,20210316,2021-03-16,5.190,14.662 
22,20210402,2021-04-02,0.329,14.121 
23,20210530,2021-05-30,1.779,12.693 
24,20210716,2021-07-16,13.223,11.351 
25,20210721,2021-07-21,1.712,13.315 
26,20210825,2021-08-25,0.626,13.819 
27,20211121,2021-11-21,0.909,20.071 
28,20220117,2022-01-17,0.708,18.842 
29,20220301,2022-03-01,15.469,9.745 
30,20220306,2022-03-06,48.364,3.783 
31,20220323,2022-03-23,0.052,15.213 
32,20220326,2022-03-26,0.000,15.167 
33,20220420,2022-04-20,8.019,7.761 
34,20220604,2022-06-04,1.113,12.726 
35,20220810,2022-08-10,0.087,13.598 
36,20220813,2022-08-13,0.000,13.955 
37,20220924,2022-09-24,11.352,10.288 
38,20221103,2022-11-03,0.005,15.853 
39,20221123,2022-11-23,0.037,14.880 
40,20221128,2022-11-28,0.541,17.039 
41,20221213,2022-12-13,0.434,51.319 
42,20230102,2023-01-02,0.000,22.187 
43,20230120,2023-01-20,0.310,19.751 
44,20230226,2023-02-26,13.777,13.214 
45,20230420,2023-04-20,0.000,14.358 
46,20230530,2023-05-30,0.000,13.225 
47,20230604,2023-06-04,0.123,13.086 
48,20230614,2023-06-14,0.000,13.197 
49,20230904,2023-09-04,0.217,13.631 
50,20231012,2023-10-12,6.579,13.253 
51,20231022,2023-10-22,2.744,14.228 
52,20231108,2023-11-08,0.107,15.983 
53,20231213,2023-12-13,0.000,20.722 
54,20240107,2024-01-07,53.176,11.472 
55,20240117,2024-01-17,0.124,21.803 
56,20240130,2024-01-30,0.134,16.592 
57,20240224,2024-02-24,25.748,12.151 
58,20240226,2024-02-26,58.265,3.033 
59,20240330,2024-03-30,33.472,5.481 